Id,Nome_prices,Squadra_prices,R_prices,Qt.A,Qt.I,Diff.,FVM,Pv,Mv,Fm,Gf,Gs,Rp,Rc,Ass,Amm,Esp,sofa_goals,sofa_assists,sofa_appearances,sofa_minutes_played,sofa_rating,sofa_expected_goals,sofa_expected_assists,sofa_shots_on_target,sofa_total_shots,sofa_successful_dribbles,sofa_accurate_crosses,sofa_pass_accuracy,sofa_tackles,sofa_interceptions,sofa_yellow_cards,sofa_red_cards,sofa_match_score,sofa_match_type
5791,Frendrup,Genoa,C,9,9,0,21,35.0,6.0,6.04,2.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0,35.0,3107.0,6.97,1.6701,0.77636379,9.0,30.0,10.0,2.0,85.86515028432169,102.0,47.0,5.0,0.0,0.84,fuzzy_match
7070,Sucic P.,Inter,C,9,9,0,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529,Mkhitaryan,Inter,C,9,9,0,33,32.0,6.06,6.25,1.0,0.0,0.0,0.0,5.0,4.0,0.0,1.0,4.0,32.0,2410.0,7.06,1.4893,4.1265193,2.0,23.0,7.0,8.0,88.55218855218855,43.0,17.0,4.0,0.0,0.8469999999999999,fuzzy_match
6634,Tete Morente,Lecce,C,9,9,0,19,30.0,5.87,6.15,3.0,0.0,0.0,0.0,2.0,5.0,0.0,3.0,2.0,31.0,2029.0,6.88,2.6684,1.22731994,13.0,41.0,30.0,11.0,79.28902627511592,27.0,14.0,5.0,0.0,1.05,fuzzy_match
4287,Lobotka,Napoli,C,9,9,0,24,31.0,6.05,6.03,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,32.0,2647.0,7.01,0.3272,1.85619343,0.0,7.0,8.0,2.0,91.05413105413105,47.0,21.0,3.0,0.0,0.7559999999999999,fuzzy_match
779,Cristante,Roma,C,9,9,0,23,28.0,6.2,6.59,4.0,0.0,0.0,0.0,3.0,8.0,0.0,4.0,2.0,30.0,2047.0,7.03,2.109,1.30105196,7.0,30.0,6.0,2.0,83.50353495679497,48.0,19.0,8.0,0.0,0.8749999999999999,fuzzy_match
6271,El Aynaoui,Roma,C,9,9,0,24,,,,,,,,,,,0.0,0.0,1.0,30.0,6.7,0.0,0.0193529,0.0,0.0,0.0,0.0,80.0,0.0,1.0,0.0,0.0,0.9099999999999999,fuzzy_match
5850,Lovric,Udinese,C,9,9,0,24,35.0,5.96,6.11,2.0,0.0,0.0,0.0,2.0,5.0,0.0,2.0,3.0,36.0,2326.0,6.85,2.6541,2.42196578,12.0,49.0,21.0,17.0,85.1764705882353,46.0,22.0,5.0,0.0,0.742,fuzzy_match
6486,Suslov,Verona,C,9,9,0,14,31.0,5.84,5.76,0.0,0.0,0.0,0.0,1.0,5.0,1.0,0.0,1.0,31.0,2097.0,6.82,1.6073,1.737696,7.0,32.0,36.0,14.0,77.6824034334764,54.0,18.0,6.0,1.0,0.6265,fuzzy_match
4947,Brescianini,Atalanta,C,8,8,0,23,23.0,6.13,6.72,4.0,0.0,0.0,0.0,2.0,1.0,0.0,4.0,2.0,29.0,1010.0,6.73,3.128,0.73126921,8.0,20.0,8.0,2.0,82.57575757575758,18.0,2.0,1.0,0.0,0.9029999999999999,fuzzy_match
5298,Pobega,Bologna,C,8,8,0,22,20.0,6.05,6.25,2.0,0.0,0.0,0.0,2.0,4.0,2.0,2.0,2.0,21.0,1178.0,6.79,2.1183,0.82649255,8.0,24.0,3.0,3.0,83.6283185840708,33.0,14.0,5.0,2.0,0.7699999999999999,fuzzy_match
4364,Gaetano,Cagliari,C,8,8,0,17,27.0,6.04,6.41,2.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,4.0,28.0,1003.0,6.75,4.8947,2.28508647,6.0,30.0,14.0,7.0,75.15151515151514,11.0,6.0,0.0,0.0,0.777,fuzzy_match
6151,Perrone,Como,C,8,8,0,19,25.0,5.94,5.94,0.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,3.0,26.0,1859.0,6.92,0.8927,1.69313682,2.0,10.0,3.0,0.0,90.98422238918107,38.0,20.0,6.0,0.0,0.819,fuzzy_match
7132,Collocolo,Cremonese,C,8,8,0,23,,,,,,,,,,,0.0,0.0,1.0,90.0,6.5,0.0,0.00966589,0.0,0.0,1.0,0.0,92.5925925925926,0.0,0.0,0.0,0.0,0.8329999999999999,fuzzy_match
4465,Fagioli,Fiorentina,C,8,8,0,24,24.0,5.92,6.04,1.0,0.0,0.0,0.0,2.0,4.0,0.0,1.0,2.0,15.0,962.0,7.0,0.5601,1.97885435,4.0,10.0,10.0,5.0,87.47855917667239,19.0,5.0,0.0,0.0,0.819,fuzzy_match
4970,Messias,Genoa,C,8,8,0,18,16.0,6.0,6.03,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,17.0,851.0,6.72,2.3662,0.63055048,6.0,18.0,10.0,4.0,68.29268292682927,13.0,6.0,1.0,0.0,0.719,fuzzy_match
4427,Malinovskyi,Genoa,C,8,8,0,24,9.0,6.33,6.44,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,9.0,383.0,7.07,0.2372,0.70093794,3.0,9.0,3.0,2.0,81.63265306122449,12.0,1.0,2.0,0.0,0.8819999999999999,fuzzy_match
7135,Stanciu,Genoa,C,8,8,0,26,,,,,,,,,,,0.0,0.0,1.0,87.0,7.0,0.3427,0.02414,0.0,3.0,0.0,0.0,71.11111111111111,2.0,2.0,0.0,0.0,0.7979999999999999,fuzzy_match
4459,Rovella,Lazio,C,8,8,0,22,33.0,6.11,6.0,0.0,0.0,0.0,0.0,3.0,13.0,0.0,0.0,3.0,33.0,2728.0,7.12,1.547,2.11638061,8.0,28.0,18.0,7.0,91.03006407097092,84.0,47.0,13.0,0.0,0.819,fuzzy_match
5872,Helgason,Lecce,C,8,8,0,18,17.0,6.03,6.26,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,21.0,1157.0,6.82,1.1619,0.94367852,5.0,16.0,8.0,18.0,73.20872274143302,10.0,6.0,0.0,0.0,0.735,fuzzy_match
4199,Loftus-Cheek,Milan,C,8,8,0,21,18.0,5.86,5.78,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,19.0,1031.0,6.87,0.7044,0.86711908,2.0,9.0,11.0,2.0,90.5857740585774,19.0,3.0,3.0,0.0,0.9099999999999999,fuzzy_match
795,El Shaarawy,Roma,C,8,8,0,19,21.0,6.19,6.71,3.0,0.0,0.0,0.0,3.0,2.0,0.0,3.0,4.0,31.0,1110.0,6.86,2.4526,1.96296086,12.0,28.0,17.0,5.0,82.3943661971831,16.0,10.0,2.0,0.0,0.761,fuzzy_match
5823,Baldanzi,Roma,C,8,8,0,16,21.0,6.0,6.14,1.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,31.0,848.0,6.68,1.4373,0.84413881,4.0,20.0,17.0,2.0,85.17441860465115,12.0,6.0,2.0,0.0,0.819,fuzzy_match
5844,Thorstvedt,Sassuolo,C,8,8,0,22,,,,,,,,,,,6.0,1.0,34.0,2413.0,6.9,4.3572,1.6099173,15.0,42.0,15.0,5.0,74.07797681770283,40.0,21.0,7.0,0.0,0.8329999999999999,fuzzy_match
2274,Valoti,Cremonese,C,7,7,0,9,1.0,6.0,5.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,48.0,6.5,0.0,0.00358183,0.0,0.0,0.0,0.0,63.1578947368421,3.0,0.0,1.0,0.0,0.6485,fuzzy_match
5301,Luis Henrique,Inter,C,7,7,0,14,,,,,,,,,,,7.0,2.0,29.0,1951.0,7.03,5.3045,2.76752062,19.0,36.0,13.0,14.0,76.6773162939297,25.0,6.0,4.0,0.0,0.602,fuzzy_match
5504,Coulibaly L.,Lecce,C,7,7,0,14,37.0,5.96,6.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,38.0,2678.0,6.72,0.8305,0.61951575,3.0,9.0,18.0,0.0,82.4468085106383,48.0,18.0,3.0,0.0,0.7839999999999999,fuzzy_match
5131,Gilmour,Napoli,C,7,7,0,12,17.0,6.0,6.06,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,26.0,1178.0,6.96,0.5056,1.90499633,1.0,9.0,5.0,9.0,89.3018018018018,24.0,9.0,0.0,0.0,0.84,fuzzy_match
4423,Hernani,Parma,C,7,7,0,18,25.0,6.08,6.42,3.0,0.0,0.0,3.0,3.0,7.0,0.0,3.0,3.0,25.0,1329.0,6.92,2.8417,1.29410223,6.0,20.0,8.0,9.0,78.4965034965035,47.0,19.0,7.0,0.0,1.05,fuzzy_match
6190,Pisilli,Roma,C,7,7,0,15,24.0,5.98,6.12,2.0,0.0,0.0,0.0,1.0,7.0,0.0,2.0,1.0,28.0,1225.0,6.77,2.6075,0.98613761,8.0,27.0,5.0,3.0,85.24590163934425,24.0,11.0,7.0,0.0,0.7979999999999999,fuzzy_match
5007,Ilic,Torino,C,7,7,0,12,16.0,5.91,5.97,1.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,19.0,921.0,6.77,0.9485,0.91505641,4.0,11.0,6.0,7.0,86.70634920634922,5.0,5.0,4.0,0.0,0.672,fuzzy_match
5688,Harroui,Verona,C,7,7,0,14,10.0,5.95,6.4,1.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,2.0,10.0,462.0,6.73,2.1587,0.58414856,4.0,15.0,6.0,2.0,82.01058201058201,9.0,2.0,1.0,0.0,0.7474999999999999,fuzzy_match
6274,Diouf,Inter,C,7,7,0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6640,Felici,Cagliari,C,6,6,0,13,18.0,5.83,5.97,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,3.0,20.0,923.0,6.63,0.6067,0.73256017,6.0,10.0,19.0,4.0,72.8395061728395,17.0,7.0,1.0,0.0,0.7909999999999999,fuzzy_match
5422,Zalewski,Atalanta,C,6,6,0,25,19.0,6.03,6.21,1.0,0.0,0.0,0.0,2.0,3.0,0.0,1.0,1.0,11.0,442.0,7.04,0.229,1.77842123,3.0,5.0,9.0,9.0,88.9423076923077,7.0,2.0,3.0,0.0,0.6674999999999999,fuzzy_match
181,Vecino,Lazio,C,6,6,0,14,18.0,6.14,6.44,2.0,0.0,0.0,0.0,3.0,7.0,0.0,2.0,3.0,20.0,875.0,6.8,2.2688,2.79071717,5.0,16.0,1.0,0.0,81.7258883248731,13.0,5.0,7.0,0.0,0.7909999999999999,fuzzy_match
5457,Maleh,Lecce,C,6,6,0,6,22.0,5.82,5.75,0.0,0.0,0.0,0.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,
6633,Pierret,Lecce,C,6,6,0,12,30.0,5.75,5.72,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,30.0,1725.0,6.69,0.1661,0.55768696,0.0,6.0,13.0,1.0,84.54987834549878,51.0,19.0,2.0,0.0,0.7559999999999999,fuzzy_match
6394,Ramadani,Lecce,C,6,6,0,11,27.0,5.85,5.94,1.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,1.0,29.0,1819.0,6.74,0.6042,0.42894367,6.0,17.0,13.0,1.0,83.01435406698565,51.0,24.0,3.0,0.0,0.861,fuzzy_match
